"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
        1237, -1.04294551e-02, 6.43732662e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21201624e-03, 6.43732662e-02, -1.04294551e-02, 0.00000000e+00, -1.62015317e-01, 0.00000000e+00, 0.00000000e+00, -2.45045377e+00, 6.69994644e-01, 3.74021954e-01, 3.82213962e+00, 0.00000000e+00, 4.0000000000, 2.0284867375, 0.2447722036
        1238, -1.04327417e-02, 6.43731792e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21336503e-03, 6.43731792e-02, -1.04327417e-02, 0.00000000e+00, -1.62066591e-01, 0.00000000e+00, 0.00000000e+00, -2.42461332e+00, 7.04667104e-01, 4.15453302e-01, 3.83776852e+00, 0.00000000e+00, 4.0000000000, 2.0622012723, 0.2448657396
        1239, -1.04334015e-02, 6.43734222e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21435353e-03, 6.43734222e-02, -1.04334015e-02, 0.00000000e+00, -1.62076228e-01, 0.00000000e+00, 0.00000000e+00, -2.37653851e+00, 7.67988119e-01, 3.68187457e-01, 3.88717122e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2449649041
        1240, -1.04347722e-02, 6.43733313e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21523096e-03, 6.43733313e-02, -1.04347722e-02, 0.00000000e+00, -1.62097750e-01, 0.00000000e+00, 0.00000000e+00, -2.50545069e+00, 6.20229843e-01, 3.55123254e-01, 3.76903081e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2450571097
        1241, -1.04386917e-02, 6.43729299e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21532005e-03, 6.43729299e-02, -1.04386917e-02, 0.00000000e+00, -1.62159648e-01, 0.00000000e+00, 0.00000000e+00, -2.47717933e+00, 6.25939150e-01, 4.26408373e-01, 3.79544823e+00, 0.00000000e+00, 4.0000000000, 2.3223098391, 0.2451501402
        1242, -1.04369499e-02, 6.43732782e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21514628e-03, 6.43732782e-02, -1.04369499e-02, 0.00000000e+00, -1.62131713e-01, 0.00000000e+00, 0.00000000e+00, -2.42528260e+00, 6.84630048e-01, 4.40406844e-01, 3.85248532e+00, 0.00000000e+00, 4.0000000000, 2.1062655513, 0.2452488266
        1243, -1.04376280e-02, 6.43741114e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21566005e-03, 6.43741114e-02, -1.04376280e-02, 0.00000000e+00, -1.62140148e-01, 0.00000000e+00, 0.00000000e+00, -2.46029997e+00, 6.45724110e-01, 4.20591757e-01, 3.81463558e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2453410234
        1244, -1.04366798e-02, 6.43741392e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21472213e-03, 6.43741392e-02, -1.04366798e-02, 0.00000000e+00, -1.62125349e-01, 0.00000000e+00, 0.00000000e+00, -2.49383627e+00, 6.14755148e-01, 3.60861149e-01, 3.77433755e+00, 0.00000000e+00, 4.0000000000, 2.0843601199, 0.2454369356
        1245, -1.04265298e-02, 6.43733542e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20925866e-03, 6.43733542e-02, -1.04265298e-02, 0.00000000e+00, -1.61969652e-01, 0.00000000e+00, 0.00000000e+00, -2.54442355e+00, 5.55758033e-01, 3.25772103e-01, 3.72712530e+00, 0.00000000e+00, 4.0000000000, 2.1664112589, 0.2455378299
        1246, -1.04215090e-02, 6.43735064e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20711167e-03, 6.43735064e-02, -1.04215090e-02, 0.00000000e+00, -1.61891275e-01, 0.00000000e+00, 0.00000000e+00, -2.48172897e+00, 6.22545334e-01, 4.10345119e-01, 3.79249017e+00, 0.00000000e+00, 4.0000000000, 2.2963312966, 0.2456299988
        1247, -1.04156451e-02, 6.43733721e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20307715e-03, 6.43733721e-02, -1.04156451e-02, 0.00000000e+00, -1.61800520e-01, 0.00000000e+00, 0.00000000e+00, -2.45315152e+00, 6.81097542e-01, 4.23943686e-01, 3.81308741e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2457280533
        1248, -1.04198775e-02, 6.43732225e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20452972e-03, 6.43732225e-02, -1.04198775e-02, 0.00000000e+00, -1.61866644e-01, 0.00000000e+00, 0.00000000e+00, -2.41086975e+00, 7.42854294e-01, 3.24073942e-01, 3.85818378e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2458191185
        1249, -1.04268570e-02, 6.43733528e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20819503e-03, 6.43733528e-02, -1.04268570e-02, 0.00000000e+00, -1.61974738e-01, 0.00000000e+00, 0.00000000e+00, -2.43934964e+00, 6.76423747e-01, 3.98758863e-01, 3.82888100e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2459116424
        1250, -1.04328960e-02, 6.43741031e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21263163e-03, 6.43741031e-02, -1.04328960e-02, 0.00000000e+00, -1.62066662e-01, 0.00000000e+00, 0.00000000e+00, -2.40916962e+00, 7.12744923e-01, 3.79474526e-01, 3.85621370e+00, 0.00000000e+00, 4.0000000000, 2.0687309888, 0.2460130507
        1251, -1.04319293e-02, 6.43736398e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21227104e-03, 6.43736398e-02, -1.04319293e-02, 0.00000000e+00, -1.62052812e-01, 0.00000000e+00, 0.00000000e+00, -2.44095656e+00, 6.78982539e-01, 3.85035151e-01, 3.83593453e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2461096452
        1252, -1.04271699e-02, 6.43726366e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20936073e-03, 6.43726366e-02, -1.04271699e-02, 0.00000000e+00, -1.61981401e-01, 0.00000000e+00, 0.00000000e+00, -2.52896959e+00, 5.69625833e-01, 4.01556725e-01, 3.75569302e+00, 0.00000000e+00, 4.0000000000, 2.0766224460, 0.2462018816
        1253, -1.04222818e-02, 6.43727427e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20646314e-03, 6.43727427e-02, -1.04222818e-02, 0.00000000e+00, -1.61905201e-01, 0.00000000e+00, 0.00000000e+00, -2.46730776e+00, 6.40044559e-01, 4.33933268e-01, 3.80959707e+00, 0.00000000e+00, 4.0000000000, 2.2980742759, 0.2463053014
        1254, -1.04097381e-02, 6.43721508e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20185600e-03, 6.43721508e-02, -1.04097381e-02, 0.00000000e+00, -1.61711827e-01, 0.00000000e+00, 0.00000000e+00, -2.48918395e+00, 6.29323984e-01, 4.25519538e-01, 3.80044524e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2463972217
        1255, -1.04067714e-02, 6.43720178e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20060725e-03, 6.43720178e-02, -1.04067714e-02, 0.00000000e+00, -1.61666074e-01, 0.00000000e+00, 0.00000000e+00, -2.46739009e+00, 6.58751498e-01, 3.63262200e-01, 3.81179839e+00, 0.00000000e+00, 4.0000000000, 2.0530624747, 0.2464990738
        1256, -1.04115907e-02, 6.43724453e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20258406e-03, 6.43724453e-02, -1.04115907e-02, 0.00000000e+00, -1.61739866e-01, 0.00000000e+00, 0.00000000e+00, -2.40773996e+00, 7.25797739e-01, 4.15077228e-01, 3.85745308e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2465966205
        1257, -1.04186802e-02, 6.43730565e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20662671e-03, 6.43730565e-02, -1.04186802e-02, 0.00000000e+00, -1.61848462e-01, 0.00000000e+00, 0.00000000e+00, -2.37262515e+00, 7.78044465e-01, 3.64550238e-01, 3.89310248e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2466891429
        1258, -1.04241653e-02, 6.43734903e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21006854e-03, 6.43734903e-02, -1.04241653e-02, 0.00000000e+00, -1.61932578e-01, 0.00000000e+00, 0.00000000e+00, -2.44466761e+00, 6.89295889e-01, 3.63010523e-01, 3.82581269e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2467816905
        1259, -1.04311508e-02, 6.43738450e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21306829e-03, 6.43738450e-02, -1.04311508e-02, 0.00000000e+00, -1.62040201e-01, 0.00000000e+00, 0.00000000e+00, -2.44918353e+00, 6.60485295e-01, 4.38183078e-01, 3.82326129e+00, 0.00000000e+00, 4.0000000000, 2.1751304238, 0.2468735063
        1260, -1.04383784e-02, 6.43741160e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21624746e-03, 6.43741160e-02, -1.04383784e-02, 0.00000000e+00, -1.62151795e-01, 0.00000000e+00, 0.00000000e+00, -2.42342120e+00, 6.84085996e-01, 4.39816731e-01, 3.85242762e+00, 0.00000000e+00, 3.0000000000, 2.1864686780, 0.2469646987
        1261, -1.04423699e-02, 6.43742966e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21790205e-03, 6.43742966e-02, -1.04423699e-02, 0.00000000e+00, -1.62213344e-01, 0.00000000e+00, 0.00000000e+00, -2.46763062e+00, 6.36196973e-01, 4.36271749e-01, 3.81728937e+00, 0.00000000e+00, 3.0000000000, 2.0003213464, 0.2470583568
        1262, -1.04373426e-02, 6.43736418e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21452003e-03, 6.43736418e-02, -1.04373426e-02, 0.00000000e+00, -1.62136898e-01, 0.00000000e+00, 0.00000000e+00, -2.49627503e+00, 6.15746853e-01, 3.32847871e-01, 3.77568570e+00, 0.00000000e+00, 3.0000000000, 2.1047691988, 0.2471513392
        1263, -1.04302728e-02, 6.43727903e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21094266e-03, 6.43727903e-02, -1.04302728e-02, 0.00000000e+00, -1.62029218e-01, 0.00000000e+00, 0.00000000e+00, -2.54747171e+00, 5.52837531e-01, 3.42386589e-01, 3.73522864e+00, 0.00000000e+00, 4.0000000000, 2.1753376851, 0.2472427430
        1264, -1.04225812e-02, 6.43727239e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20718185e-03, 6.43727239e-02, -1.04225812e-02, 0.00000000e+00, -1.61909898e-01, 0.00000000e+00, 0.00000000e+00, -2.46872004e+00, 6.38001622e-01, 4.27711406e-01, 3.81220077e+00, 0.00000000e+00, 3.0000000000, 2.3074113367, 0.2473297063
        1265, -1.04163211e-02, 6.43717302e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20339931e-03, 6.43717302e-02, -1.04163211e-02, 0.00000000e+00, -1.61815149e-01, 0.00000000e+00, 0.00000000e+00, -2.51395569e+00, 5.92699744e-01, 4.22291488e-01, 3.76490267e+00, 0.00000000e+00, 3.0000000000, 2.0020000000, 0.2474158855
        1266, -1.04140943e-02, 6.43709256e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20221684e-03, 6.43709256e-02, -1.04140943e-02, 0.00000000e+00, -1.61782578e-01, 0.00000000e+00, 0.00000000e+00, -2.52167709e+00, 5.90447627e-01, 3.75964188e-01, 3.77981797e+00, 0.00000000e+00, 3.0000000000, 2.1090258364, 0.2475104706
        1267, -1.04227032e-02, 6.43720461e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20678002e-03, 6.43720461e-02, -1.04227032e-02, 0.00000000e+00, -1.61913499e-01, 0.00000000e+00, 0.00000000e+00, -2.48722330e+00, 5.80569426e-01, 4.99621318e-01, 3.80339856e+00, 0.00000000e+00, 4.0000000000, 2.1278577848, 0.2476045191
        1268, -1.04300788e-02, 6.43726351e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20964394e-03, 6.43726351e-02, -1.04300788e-02, 0.00000000e+00, -1.62026593e-01, 0.00000000e+00, 0.00000000e+00, -2.45481755e+00, 6.43319864e-01, 4.61494394e-01, 3.82460973e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2477038864
        1269, -1.04334233e-02, 6.43727250e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21109895e-03, 6.43727250e-02, -1.04334233e-02, 0.00000000e+00, -1.62078323e-01, 0.00000000e+00, 0.00000000e+00, -2.50703658e+00, 5.90086384e-01, 3.95319491e-01, 3.77560542e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2477954110
        1270, -1.04372606e-02, 6.43731037e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21391892e-03, 6.43731037e-02, -1.04372606e-02, 0.00000000e+00, -1.62136979e-01, 0.00000000e+00, 0.00000000e+00, -2.49579080e+00, 6.10127067e-01, 4.34711650e-01, 3.78371611e+00, 0.00000000e+00, 4.0000000000, 2.1260505575, 0.2478883913
        1271, -1.04381146e-02, 6.43743690e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21497061e-03, 6.43743690e-02, -1.04381146e-02, 0.00000000e+00, -1.62147059e-01, 0.00000000e+00, 0.00000000e+00, -2.44947181e+00, 6.62764479e-01, 4.06287364e-01, 3.82361756e+00, 0.00000000e+00, 4.0000000000, 2.0450546598, 0.2479952467
        1272, -1.04373069e-02, 6.43743340e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21469339e-03, 6.43743340e-02, -1.04373069e-02, 0.00000000e+00, -1.62134600e-01, 0.00000000e+00, 0.00000000e+00, -2.46112041e+00, 6.55234214e-01, 3.90115529e-01, 3.82177213e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2481236308
        1273, -1.04325079e-02, 6.43739826e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21133294e-03, 6.43739826e-02, -1.04325079e-02, 0.00000000e+00, -1.62060936e-01, 0.00000000e+00, 0.00000000e+00, -2.45461997e+00, 6.77741597e-01, 3.40369319e-01, 3.81296977e+00, 0.00000000e+00, 4.0000000000, 2.0290295682, 0.2482364775
        1274, -1.04253655e-02, 6.43731451e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20766848e-03, 6.43731451e-02, -1.04253655e-02, 0.00000000e+00, -1.61952092e-01, 0.00000000e+00, 0.00000000e+00, -2.47154636e+00, 6.67335317e-01, 3.17257439e-01, 3.77475614e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2483406862
        1275, -1.04176851e-02, 6.43734968e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20599849e-03, 6.43734968e-02, -1.04176851e-02, 0.00000000e+00, -1.61831897e-01, 0.00000000e+00, 0.00000000e+00, -2.42930490e+00, 7.00754110e-01, 4.31455583e-01, 3.84463596e+00, 0.00000000e+00, 4.0000000000, 2.0413960464, 0.2484341402
        1276, -1.04102136e-02, 6.43723173e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20264382e-03, 6.43723173e-02, -1.04102136e-02, 0.00000000e+00, -1.61718796e-01, 0.00000000e+00, 0.00000000e+00, -2.49153982e+00, 6.19370496e-01, 4.14145033e-01, 3.78801380e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2485611114
        1277, -1.03998239e-02, 6.43710378e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.19623455e-03, 6.43710378e-02, -1.03998239e-02, 0.00000000e+00, -1.61560607e-01, 0.00000000e+00, 0.00000000e+00, -2.51227321e+00, 6.06515984e-01, 3.28793777e-01, 3.76127369e+00, 0.00000000e+00, 4.0000000000, 2.1507084104, 0.2486539368
        1278, -1.04016435e-02, 6.43710397e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.19693093e-03, 6.43710397e-02, -1.04016435e-02, 0.00000000e+00, -1.61588869e-01, 0.00000000e+00, 0.00000000e+00, -2.45636218e+00, 6.39259181e-01, 4.51178231e-01, 3.81609043e+00, 0.00000000e+00, 4.0000000000, 2.2026638616, 0.2487577483
        1279, -1.04002052e-02, 6.43717075e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.19689747e-03, 6.43717075e-02, -1.04002052e-02, 0.00000000e+00, -1.61564850e-01, 0.00000000e+00, 0.00000000e+00, -2.46951402e+00, 6.38872807e-01, 4.59907913e-01, 3.81049585e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2488541613
        1280, -1.04065707e-02, 6.43721623e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20065871e-03, 6.43721623e-02, -1.04065707e-02, 0.00000000e+00, -1.61662594e-01, 0.00000000e+00, 0.00000000e+00, -2.45015820e+00, 6.68559987e-01, 4.06293725e-01, 3.82602944e+00, 0.00000000e+00, 4.0000000000, 2.0325441785, 0.2489476980
        1281, -1.04148801e-02, 6.43725084e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20472759e-03, 6.43725084e-02, -1.04148801e-02, 0.00000000e+00, -1.61790808e-01, 0.00000000e+00, 0.00000000e+00, -2.39744619e+00, 7.29176128e-01, 4.40925500e-01, 3.87464413e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2490520264
        1282, -1.04261370e-02, 6.43730635e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20969754e-03, 6.43730635e-02, -1.04261370e-02, 0.00000000e+00, -1.61964281e-01, 0.00000000e+00, 0.00000000e+00, -2.38246112e+00, 7.58508399e-01, 4.00244235e-01, 3.87914146e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2491451640
        1283, -1.04297804e-02, 6.43737649e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21177297e-03, 6.43737649e-02, -1.04297804e-02, 0.00000000e+00, -1.62019115e-01, 0.00000000e+00, 0.00000000e+00, -2.45690770e+00, 6.74285606e-01, 3.83331303e-01, 3.81099311e+00, 0.00000000e+00, 3.0000000000, 2.0020000000, 0.2492312871
        1284, -1.04372700e-02, 6.43740216e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21658804e-03, 6.43740216e-02, -1.04372700e-02, 0.00000000e+00, -1.62134814e-01, 0.00000000e+00, 0.00000000e+00, -2.45280231e+00, 6.58286518e-01, 4.33838887e-01, 3.81873131e+00, 0.00000000e+00, 3.0000000000, 2.1811591793, 0.2493347114
        1285, -1.04460733e-02, 6.43748814e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.22111597e-03, 6.43748814e-02, -1.04460733e-02, 0.00000000e+00, -1.62269399e-01, 0.00000000e+00, 0.00000000e+00, -2.34983805e+00, 7.64705980e-01, 4.78965576e-01, 3.91289308e+00, 0.00000000e+00, 3.0000000000, 2.1504496611, 0.2494342692
        1286, -1.04533199e-02, 6.43759173e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.22512248e-03, 6.43759173e-02, -1.04533199e-02, 0.00000000e+00, -1.62379355e-01, 0.00000000e+00, 0.00000000e+00, -2.40636570e+00, 6.99727406e-01, 5.06878532e-01, 3.86938789e+00, 0.00000000e+00, 3.0000000000, 2.0020000000, 0.2495216895
        1287, -1.04501799e-02, 6.43762170e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.22349580e-03, 6.43762170e-02, -1.04501799e-02, 0.00000000e+00, -1.62329824e-01, 0.00000000e+00, 0.00000000e+00, -2.45245695e+00, 6.65189693e-01, 3.83198784e-01, 3.82567589e+00, 0.00000000e+00, 4.0000000000, 2.1366229995, 0.2496260800
        1288, -1.04513280e-02, 6.43755582e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.22383233e-03, 6.43755582e-02, -1.04513280e-02, 0.00000000e+00, -1.62349319e-01, 0.00000000e+00, 0.00000000e+00, -2.48779338e+00, 6.26782585e-01, 3.94573952e-01, 3.78973503e+00, 0.00000000e+00, 4.0000000000, 2.2530639879, 0.2497177683
        1289, -1.04408889e-02, 6.43752430e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21844219e-03, 6.43752430e-02, -1.04408889e-02, 0.00000000e+00, -1.62187953e-01, 0.00000000e+00, 0.00000000e+00, -2.49400019e+00, 6.14274111e-01, 3.72881093e-01, 3.78127254e+00, 0.00000000e+00, 4.0000000000, 2.3466144451, 0.2498103876
        1290, -1.04280823e-02, 6.43734982e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21255903e-03, 6.43734982e-02, -1.04280823e-02, 0.00000000e+00, -1.61993407e-01, 0.00000000e+00, 0.00000000e+00, -2.53750081e+00, 5.78894785e-01, 3.20756617e-01, 3.74395900e+00, 0.00000000e+00, 4.0000000000, 2.3634430675, 0.2499154604
        1291, -1.04171913e-02, 6.43723128e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20586516e-03, 6.43723128e-02, -1.04171913e-02, 0.00000000e+00, -1.61827203e-01, 0.00000000e+00, 0.00000000e+00, -2.48184517e+00, 6.13484115e-01, 4.07972409e-01, 3.79544024e+00, 0.00000000e+00, 4.0000000000, 2.4848229889, 0.2500076257
        1292, -1.04103963e-02, 6.43711066e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20137017e-03, 6.43711066e-02, -1.04103963e-02, 0.00000000e+00, -1.61724676e-01, 0.00000000e+00, 0.00000000e+00, -2.48214991e+00, 6.18481597e-01, 4.49366105e-01, 3.79843562e+00, 0.00000000e+00, 4.0000000000, 2.0502744160, 0.2501087704
        1293, -1.04086514e-02, 6.43709824e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.19969510e-03, 6.43709824e-02, -1.04086514e-02, 0.00000000e+00, -1.61697881e-01, 0.00000000e+00, 0.00000000e+00, -2.44845267e+00, 6.67049375e-01, 4.07972979e-01, 3.83420946e+00, 0.00000000e+00, 4.0000000000, 2.0509938711, 0.2502068532
        1294, -1.04111848e-02, 6.43714982e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20039183e-03, 6.43714982e-02, -1.04111848e-02, 0.00000000e+00, -1.61735940e-01, 0.00000000e+00, 0.00000000e+00, -2.42880112e+00, 7.06157183e-01, 3.98865136e-01, 3.84235935e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2502993146
        1295, -1.04157591e-02, 6.43723351e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20218834e-03, 6.43723351e-02, -1.04157591e-02, 0.00000000e+00, -1.61804898e-01, 0.00000000e+00, 0.00000000e+00, -2.39469870e+00, 7.53912709e-01, 3.53062095e-01, 3.86548265e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2503927915
        1296, -1.04205512e-02, 6.43723857e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20494630e-03, 6.43723857e-02, -1.04205512e-02, 0.00000000e+00, -1.61879214e-01, 0.00000000e+00, 0.00000000e+00, -2.42757103e+00, 7.07021879e-01, 3.89179055e-01, 3.84443212e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2504857170
        1297, -1.04189385e-02, 6.43727894e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20495388e-03, 6.43727894e-02, -1.04189385e-02, 0.00000000e+00, -1.61853147e-01, 0.00000000e+00, 0.00000000e+00, -2.44207244e+00, 6.77293347e-01, 4.10935572e-01, 3.82504763e+00, 0.00000000e+00, 4.0000000000, 2.0792190165, 0.2505887769
        1298, -1.04273431e-02, 6.43735870e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20880031e-03, 6.43735870e-02, -1.04273431e-02, 0.00000000e+00, -1.61981701e-01, 0.00000000e+00, 0.00000000e+00, -2.42973510e+00, 6.91127420e-01, 4.67711671e-01, 3.83575129e+00, 0.00000000e+00, 4.0000000000, 2.1142237360, 0.2506851527
        1299, -1.04258504e-02, 6.43730995e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20818666e-03, 6.43730995e-02, -1.04258504e-02, 0.00000000e+00, -1.61959740e-01, 0.00000000e+00, 0.00000000e+00, -2.43728309e+00, 6.74684686e-01, 4.68097010e-01, 3.84412990e+00, 0.00000000e+00, 4.0000000000, 2.0260256621, 0.2507793491
        1300, -1.04165273e-02, 6.43721988e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20369522e-03, 6.43721988e-02, -1.04165273e-02, 0.00000000e+00, -1.61817175e-01, 0.00000000e+00, 0.00000000e+00, -2.49491338e+00, 6.25327828e-01, 3.36999622e-01, 3.77709723e+00, 0.00000000e+00, 4.0000000000, 2.0437084242, 0.2508710797
        1301, -1.04150818e-02, 6.43722073e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20339092e-03, 6.43722073e-02, -1.04150818e-02, 0.00000000e+00, -1.61794697e-01, 0.00000000e+00, 0.00000000e+00, -2.48040483e+00, 6.21620168e-01, 4.26843080e-01, 3.79474678e+00, 0.00000000e+00, 4.0000000000, 2.1839067060, 0.2509648650
        1302, -1.04107414e-02, 6.43713434e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20170934e-03, 6.43713434e-02, -1.04107414e-02, 0.00000000e+00, -1.61729442e-01, 0.00000000e+00, 0.00000000e+00, -2.45106515e+00, 6.79257770e-01, 4.40993553e-01, 3.82509107e+00, 0.00000000e+00, 4.0000000000, 2.0771662481, 0.2510569574
        1303, -1.04148505e-02, 6.43711829e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20367524e-03, 6.43711829e-02, -1.04148505e-02, 0.00000000e+00, -1.61793679e-01, 0.00000000e+00, 0.00000000e+00, -2.38014633e+00, 7.69378508e-01, 3.86576678e-01, 3.88515580e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2511594478
        1304, -1.04170565e-02, 6.43713826e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20492996e-03, 6.43713826e-02, -1.04170565e-02, 0.00000000e+00, -1.61827447e-01, 0.00000000e+00, 0.00000000e+00, -2.45818678e+00, 6.60004127e-01, 3.90942271e-01, 3.80729005e+00, 0.00000000e+00, 4.0000000000, 2.0020000000, 0.2512555136
        1305, -1.04236572e-02, 6.43725227e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.20977612e-03, 6.43725227e-02, -1.04236572e-02, 0.00000000e+00, -1.61927120e-01, 0.00000000e+00, 0.00000000e+00, -2.45173288e+00, 6.51904211e-01, 4.25041420e-01, 3.82848683e+00, 0.00000000e+00, 4.0000000000, 2.1902026252, 0.2513482884
        1306, -1.04253726e-02, 6.43726185e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.21000652e-03, 6.43726185e-02, -1.04253726e-02, 0.00000000e+00, -1.61953527e-01, 0.00000000e+00, 0.00000000e+00, -2.44132936e+00, 6.66229762e-01, 4.38244597e-01, 3.83759362e+00, 0.00000000e+00, 4.0000000000, 2.1419209719, 0.2514396051
